INFECTION OVER TIME - LOG|Total time(s):-0.02428527TOTAL INFECTIONS:72,
Time, Total Infections
(0, 20)
(12, 21)
(15, 22)
(21, 23)
(28, 24)
(28, 25)
(28, 26)
(29, 27)
(29, 28)
(29, 29)
(33, 30)
(36, 31)
(43, 32)
(48, 33)
(48, 34)
(52, 35)
(57, 36)
(61, 37)
(68, 38)
(69, 39)
(70, 40)
(71, 41)
(78, 42)
(78, 43)
(78, 44)
(79, 45)
(80, 46)
(82, 47)
(82, 48)
(82, 49)
(84, 50)
(84, 51)
(84, 52)
(87, 53)
(95, 54)
(95, 55)
(97, 56)
(99, 57)
(101, 58)
(109, 59)
(111, 60)
(118, 61)
(118, 62)
(119, 63)
(120, 64)
(120, 65)
(120, 66)
(120, 67)
(120, 68)
(120, 69)
(120, 70)
(120, 71)
(120, 72)
